what is,what's,whats,,,,
what have,what've,whatve,,,,
when is,when's,whens,,,,
where did,where'd,whered,,,,
where are,where're,wherere,,,,
where is,where's,wheres,,,,
where have,where've,whereve,,,,
who would,who'd,whod,,,,
who would have,who'd've,whodve,,,,
who will,who'll,wholl,,,,
who are,who're,whore,,,,
who is,who's,whos,,,,
who have,who've,whove,,,,
why did,why'd,whyd,,,,
why are,why're,whyre,,,,
why is,why's,whys,,,,
will not,won't,wont,,,,
would have,would've,wouldve,,,,
would not,wouldn't,wouldnt,,,,
you all,y'all,yall,,,,
you would,you'd,youd,,,,
you will,you'll,youll,,,,
you are,you're,youre,,,,
you have,you've,youve,,,,
as a matter of fact,aamof,,,,,
as far as i know,afaik,,,,,
as far as i remember,afair,,,,,
also known as,aka,,,,,
by the way,btw,,,,,
see you,cu,cya,,,,
do it yourself,diy,,,,,
end of discussion,eod,,,,,
for what it is worth,fwiw,,,,,
for your information,fyi,,,,,
for the win,ftw,,,,,
have fun,hf,,,,,
hope this helps,hth,,,,,
i do not know,idk,,,,,
if I recall correctly,iirc,,,,,
in my opinion,imo,,,,,
in my honest opinion,imho,,,,,
in other words,iow,,,,,
laugh out loud,lol,lols,lolz,lul,luls,lulz
do not get me wrong,dgmw,,,,,
mark my words,mmw,,,,,
no need to reply,nntr,,,,,
none of your business,noyb,,,,,
no reply necessary,nrn,,,,,
oh my god,omg,,,,,
over powered,op,,,,,
bad manners,bm,,,,,
on the other hand,otoh,,,,,
point of view,pov,,,,,
rolling on the floor laughing,rofl,rotfl,,,,
to be announced,tba,,,,,
laughing my ass off,lmao,,,,,
to be continued,tbc,,,,,
thanks in advance,tia,,,,,
thank god it is friday,tgif,,,,,
thank you,tq,ty,,,,
thank you very much,tyvm,,,,,
take your time,tyt,,,,,
talk to you later,ttyl,,,,,
works for me,wfm,,,,,
with regards to,wrt,,,,,
what the heck,wth,,,,,
what the fuck,wtf,,,,,
the fuck,tf,dafuq,,,,
as soon as possible,asap,,,,,
before you know it,b4yki,,,,,
best friends forever,bff,bffs,,,,
be right back,brb,ibrb,,,,
complete waste of time,cwot,,,,,
see you tomorrow,cyt,,,,,
face to face,f2f,,,,,
fingers crossed,fc,,,,,
friend of a friend,foaf,,,,,
hugs and kisses,hak,,,,,
i do not care,idc,,,,,
I love you,ilu,,,,,
i miss you,imu,,,,,
in real life,irl,,,,,
just kidding,jk,,,,,
just checking,jc,,,,,
just to let you know,jtlyk,,,,,
kill me now,kmn,,,,,
kill yourself,kys,,,,,
mind your own business,myob,,,,,
no comment,nc,,,,,
not much,nm,,,,,
no problem,np,,,,,
not safe for work,nsfw,,,,,
not that it matters,ntim,,,,,
never mind,nevermind,nvm,,,,
on my way,otw,omw,,,,
on the phone,otp,,,,,
piece of shit,pos,,,,,
too much information,tmi,,,,,
wish you were here,wywh,,,,,
how i feel when,hifw,,,,,
that feeling when,twf,,,,,
my face when,mfw,,,,,
over my dead body,omdb,,,,,
to be honest,tbh,,,,,
you never know,ynk,,,,,
shaking my head,smh,,,,,
you got that right,ygtr,,,,,
great minds think alike,gmta,,,,,
story of my life,soml,,,,,
just for fun,j4f,,,,,
at your own risk,ayor,,,,,
get a hold of yourself,gahoy,,,,,
fuck my life,fml,,,,,
fixed that for you,ftfy,,,,,
i do not give a fuck,idgaf,,,,,
just so you know,jsyk,,,,,
throwback thursday,tbt,,,,,
your milage may vary,ymmv,,,,,
you only live once,yolo,,,,,
ask me anything,ama,,,,,
boy friend,boyfriend,bf,,,,
girl friend,girlfriend,gf,,,,
correct me if i am wrong,cmiiw,,,,,
can not talk now,ctn,,,,,
good game,gg,ggs,,,,
good job,gj,,,,,
good luck,gl,,,,,
got to go,gtg,,,,,
hold on a second,hoas,,,,,
in any case,iac,,,,,
if you know what i mean,iykwim,,,,,
let me know,lmk,,,,,
long time no see,ltns,,,,,
no big deal,nbd,,,,,
safe for work,sfw,,,,,
that is great,tg,,,,,
talk to you soon,ttys,,,,,
you are not going to need it,yagni,,,,,
you are welcome,yw,,,,,
do not know,dunno,donno,,,,
got them,gotem,gottem,got'em,,,
